node/919390899,atm,Wells Fargo,-97.7537881,30.2392743
node/3506537230,atm,Bank of America,-97.7534368,30.2371262
node/3506539564,atm,Chase,-97.7539169,30.2376569
node/3506541314,atm,Bank of America,-97.7535844,30.2372096
node/3506566671,atm,Bank of America,-97.7542736,30.2374344
node/1481721331,atm,Prosperity Bank,-97.7415445,30.2671032
node/2683026884,atm,,-97.7420565,30.266666
node/3245054372,atm,Wells Fargo,-97.7458302,30.2649727
node/5405987926,atm,,-89.8270243,30.3023964
node/280232499,atm,,-97.734911,30.2915028
node/668901104,atm,,-97.8048581,30.2030224
node/668901122,atm,,-97.8071916,30.2033005
node/919338930,atm,,-97.7671271,30.2493483
node/919390899,atm,Wells Fargo,-97.7537881,30.2392743
node/1236793260,atm,Chase Bank,-97.7350323,30.3147163
node/1481721292,atm,BBVA,-97.765332,30.2747529
node/1481721314,atm,Citibank,-97.7494992,30.2687102
node/1481721331,atm,Prosperity Bank,-97.7415445,30.2671032
node/1481848489,atm,Wells Fargo,-97.746684,30.2567056
node/2683026884,atm,,-97.7420565,30.266666
node/2700745338,atm,Coin Vault ATM,-97.7671829,30.2235953
node/3245054372,atm,Wells Fargo,-97.7458302,30.2649727
node/3506537230,atm,Bank of America,-97.7534368,30.2371262
node/3506539564,atm,Chase,-97.7539169,30.2376569
node/3506541314,atm,Bank of America,-97.7535844,30.2372096
node/3506566671,atm,Bank of America,-97.7542736,30.2374344
node/4093997762,atm,Wells Fargo,-97.7508629,30.2469162
node/4496338940,atm,University Federal Credit Union,-97.7341871,30.2833844
node/4879027984,atm,,-97.7386138,30.2612134
node/4933514996,atm,Bank of America,-97.6681351,30.2021078
node/5522616162,atm,Bank of America,-97.7377297,30.2829073
node/5522616579,atm,Bank of America,-97.7365214,30.2830496
node/6101640442,atm,United Heritage Credit Union,-97.8054282,30.2085143
node/6363974414,atm,,-97.7263685,30.2374386
node/8369348344,atm,,-97.6996295,30.3023308
node/9017287333,atm,,-97.7493523,30.2511193
node/9272346694,atm,University Federal Credit Union,-97.8240512,30.2336638
node/10702351869,atm,RBFCU,-97.8277924,30.2323761
node/10702378496,atm,UFCU,-97.8241236,30.2338907
node/10815486727,atm,Frost Bank,-97.8244523,30.2949022
node/919338930,atm,,-97.7671271,30.2493483
node/919390899,atm,Wells Fargo,-97.7537881,30.2392743
node/4093997762,atm,Wells Fargo,-97.7508629,30.2469162
node/9017287333,atm,,-97.7493523,30.2511193
node/1227587493,atm,IBC Bank,-97.7224912,30.391613
node/1235384927,atm,Wells Fargo,-97.7249893,30.3928038
node/1254086055,atm,BBVA Compass,-97.7209612,30.3923496
node/8229460345,atm,,-97.7197233,30.3899877
node/8229497844,atm,,-97.7222385,30.3922553
node/280232499,atm,,-97.734911,30.2915028
node/668901104,atm,,-97.8048581,30.2030224
node/668901122,atm,,-97.8071916,30.2033005
node/919338930,atm,,-97.7671271,30.2493483
node/919390899,atm,Wells Fargo,-97.7537881,30.2392743
node/1227587493,atm,IBC Bank,-97.7224912,30.391613
node/1227587530,atm,Bank of America,-97.7269143,30.4008159
node/1235384927,atm,Wells Fargo,-97.7249893,30.3928038
